ds,y
2013-12-30,1
2014-01-06,15
2014-01-13,19
2014-01-20,16
2014-01-27,11
2014-02-03,13
2014-02-10,19
2014-02-17,16
2014-02-24,28
2014-03-03,23
2014-03-10,20
2014-03-17,17
2014-03-24,18
2014-03-31,19
2014-04-07,25
2014-04-14,21
2014-04-21,22
2014-04-28,16
2014-05-05,10
2014-05-12,22
2014-05-19,27
2014-05-26,24
2014-06-02,25
2014-06-09,33
2014-06-16,19
2014-06-23,34
2014-06-30,28
2014-07-07,30
2014-07-14,21
2014-07-21,14
2014-07-28,9
2014-08-04,16
2014-08-11,28
2014-08-18,21
2014-08-25,26
2014-09-01,18
2014-09-08,23
2014-09-15,17
2014-09-22,22
2014-09-29,12
2014-10-06,20
2014-10-13,18
2014-10-20,19
2014-10-27,24
2014-11-03,6
2014-11-10,10
2014-11-17,13
2014-11-24,17
2014-12-01,23
2014-12-08,8
2014-12-15,12
2014-12-22,2
2014-12-29,22
2015-01-05,17
2015-01-12,27
2015-01-19,21
2015-01-26,17
2015-02-02,26
2015-02-09,13
2015-02-16,6
2015-02-23,16
2015-03-02,14
2015-03-09,8
2015-03-16,16
2015-03-23,20
2015-03-30,13
2015-04-06,22
2015-04-13,20
2015-04-20,23
2015-04-27,20
2015-05-04,22
2015-05-11,34
2015-05-18,28
2015-05-25,24
2015-06-01,23
2015-06-08,31
2015-06-15,21
2015-06-22,33
2015-06-29,23
2015-07-06,21
2015-07-13,22
2015-07-20,15
2015-07-27,14
2015-08-03,19
2015-08-10,17
2015-08-17,24
2015-08-24,23
2015-08-31,18
2015-09-07,17
2015-09-14,22
2015-09-21,37
2015-09-28,41
2015-10-05,33
2015-10-12,16
2015-10-19,10
2015-10-26,14
2015-11-02,21
2015-11-09,14
2015-11-16,19
2015-11-23,14
2015-11-30,19
2015-12-07,12
2015-12-14,15
2015-12-21,8
2016-01-04,17
2016-01-11,17
2016-01-18,15
2016-01-25,7
2016-02-01,13
2016-02-08,11
2016-02-15,18
2016-02-22,19
2016-02-29,12
2016-03-07,18
2016-03-14,33
2016-03-21,5
2016-03-28,23
2016-04-04,39
2016-04-11,23
2016-04-18,18
2016-04-25,17
2016-05-02,32
2016-05-09,31
2016-05-16,31
2016-05-23,37
2016-05-30,29
2016-06-06,30
2016-06-13,22
2016-06-20,36
2016-06-27,9
2016-07-04,12
2016-07-11,11
2016-07-18,35
2016-07-25,24
2016-08-01,20
2016-08-08,19
2016-08-15,23
2016-08-22,25
2016-08-29,19
2016-09-05,16
2016-09-12,15
2016-09-19,20
2016-09-26,25
2016-10-03,19
2016-10-10,19
2016-10-17,23
2016-10-24,24
2016-10-31,25
2016-11-07,20
2016-11-14,25
2016-11-21,24
2016-11-28,16
2016-12-05,16
2016-12-12,21
2016-12-19,12
2016-12-26,9
2017-01-02,26
2017-01-09,35
2017-01-16,25
2017-01-23,28
2017-01-30,21
2017-02-06,23
2017-02-13,33
2017-02-20,30
2017-02-27,19
2017-03-06,31
2017-03-13,39
2017-03-20,51
2017-03-27,22
2017-04-03,40
2017-04-10,22
2017-04-17,22
2017-04-24,49
2017-05-01,42
2017-05-08,26
2017-05-15,32
2017-05-22,32
2017-05-29,49
2017-06-05,39
2017-06-12,50
2017-06-19,23
2017-06-26,37
2017-07-03,45
2017-07-10,37
2017-07-17,29
2017-07-24,27
2017-07-31,39
2017-08-07,21
2017-08-14,27
2017-08-21,35
2017-08-28,24
2017-09-04,37
2017-09-11,33
2017-09-18,34
2017-09-25,43
2017-10-02,52
2017-10-09,31
2017-10-16,36
2017-10-23,24
2017-10-30,40
2017-11-06,36
2017-11-13,20
2017-11-20,26
2017-11-27,19
2017-12-04,22
2017-12-11,29
2017-12-18,19
2017-12-25,19
2018-01-01,20
2018-01-08,23
2018-01-15,29
2018-01-22,29
2018-01-29,18
2018-02-05,28
2018-02-12,21
2018-02-19,25
2018-02-26,18
2018-03-05,38
2018-03-12,39
2018-03-19,32
2018-03-26,15
2018-04-02,34
2018-04-09,34
2018-04-16,38
2018-04-23,37
2018-04-30,28
2018-05-07,21
2018-05-14,36
2018-05-21,40
2018-05-28,38
2018-06-04,33
2018-06-11,53
2018-06-18,31
2018-06-25,37
2018-07-02,35
2018-07-09,23
2018-07-16,34
2018-07-23,26
2018-07-30,27
2018-08-06,40
2018-08-13,29
2018-08-20,63
2018-08-27,37
2018-09-03,34
2018-09-10,34
2018-09-17,27
2018-09-24,31
2018-10-01,21
2018-10-08,50
2018-10-15,31
2018-10-22,33
2018-10-29,32
2018-11-05,28
2018-11-12,45
2018-11-19,38
2018-11-26,20
2018-12-03,29
2018-12-10,28
2018-12-17,25
2018-12-24,33
2018-12-31,25
2019-01-07,36
2019-01-14,38
2019-01-21,37
2019-01-28,47
2019-02-04,30
2019-02-11,43
2019-02-18,43
2019-02-25,30
2019-03-04,43
2019-03-11,41
2019-03-18,27
2019-03-25,52
2019-04-01,30
2019-04-08,40
2019-04-15,24
2019-04-22,40
2019-04-29,27
2019-05-06,35
2019-05-13,39
2019-05-20,40
2019-05-27,50
2019-06-03,44
2019-06-10,43
2019-06-17,30
2019-06-24,44
2019-07-01,36
2019-07-08,53
2019-07-15,28
2019-07-22,15
2019-07-29,35
2019-08-05,46
2019-08-12,49
2019-08-19,38
2019-08-26,43
2019-09-02,47
2019-09-09,46
2019-09-16,41
2019-09-23,35
2019-09-30,46
2019-10-07,54
2019-10-14,48
2019-10-21,44
2019-10-28,37
2019-11-04,58
2019-11-11,35
